ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct	1.098s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-dev	2.671s
ok  	github.com/wotjr1649/Clauduct/go/cmd/clauduct-hook	2.718s
ok  	github.com/wotjr1649/Clauduct/go/internal/app	382.242s
ok  	github.com/wotjr1649/Clauduct/go/internal/auth	1.894s
ok  	github.com/wotjr1649/Clauduct/go/internal/buildinfo	1.392s
ok  	github.com/wotjr1649/Clauduct/go/internal/childprocess	1.684s
ok  	github.com/wotjr1649/Clauduct/go/internal/gateway	45.416s
ok  	github.com/wotjr1649/Clauduct/go/internal/launch	1.357s
ok  	github.com/wotjr1649/Clauduct/go/internal/pdf	1.578s
ok  	github.com/wotjr1649/Clauduct/go/internal/platform	1.368s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/anthropic	2.492s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/bridge	2.046s
ok  	github.com/wotjr1649/Clauduct/go/internal/protocol/codex	1.681s
ok  	github.com/wotjr1649/Clauduct/go/internal/stream	1.866s
ok  	github.com/wotjr1649/Clauduct/go/internal/update	2.203s
ok  	github.com/wotjr1649/Clauduct/go/internal/upstream	3.729s
ok  	github.com/wotjr1649/Clauduct/go/internal/wire	1.842s
